assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,local_fna,filename
GCA_002760395.1,PRJNA210215,SAMN07981242,AUNA00000000.1,,na,,1353263,1353263,Synechococcus sp. 63AY4M1,strain=63AY4M1,,latest,Scaffold,Major,Full,2017/11/07,ASM276039v1,DOE JGI,GCF_002760395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/760/395/GCA_002760395.1_ASM276039v1,./genbank/bacteria/GCA_002760395.1/GCA_002760395.1_ASM276039v1_genomic.fna.gz,./genbank/bacteria/GCA_002760395.1/GCA_002760395.1_ASM276039v1_genomic.fna.gz,GCA_002760395.1_ASM276039v1
GCA_002760445.1,PRJNA210216,SAMN07981241,AXUV00000000.1,,na,,1353264,1353264,Synechococcus sp. 65AY640,strain=65AY640,,latest,Scaffold,Major,Full,2017/11/07,ASM276044v1,DOE JGI,GCF_002760445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/760/445/GCA_002760445.1_ASM276044v1,./genbank/bacteria/GCA_002760445.1/GCA_002760445.1_ASM276044v1_genomic.fna.gz,./genbank/bacteria/GCA_002760445.1/GCA_002760445.1_ASM276044v1_genomic.fna.gz,GCA_002760445.1_ASM276044v1
GCA_002760415.1,PRJNA210217,SAMN07981246,AXUW00000000.1,,na,,1353265,1353265,Synechococcus sp. 65AY6A5,strain=65AY6A5,,latest,Scaffold,Major,Full,2017/11/07,ASM276041v1,DOE JGI,GCF_002760415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/760/415/GCA_002760415.1_ASM276041v1,./genbank/bacteria/GCA_002760415.1/GCA_002760415.1_ASM276041v1_genomic.fna.gz,./genbank/bacteria/GCA_002760415.1/GCA_002760415.1_ASM276041v1_genomic.fna.gz,GCA_002760415.1_ASM276041v1
GCA_002760475.1,PRJNA210218,SAMN07981245,AXUX00000000.1,,na,,1353266,1353266,Synechococcus sp. 63AY4M2,strain=63AY4M2,,latest,Scaffold,Major,Full,2017/11/07,ASM276047v1,DOE JGI,GCF_002760475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/760/475/GCA_002760475.1_ASM276047v1,./genbank/bacteria/GCA_002760475.1/GCA_002760475.1_ASM276047v1_genomic.fna.gz,./genbank/bacteria/GCA_002760475.1/GCA_002760475.1_ASM276047v1_genomic.fna.gz,GCA_002760475.1_ASM276047v1
GCA_000505665.1,PRJNA218025,SAMN02641554,,,na,,1394889,1394889,Thermosynechococcus sp. NK55a,strain=NK55,,latest,Chromosome,Major,Full,2013/12/11,ASM50566v1,PNNL,GCF_000505665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/505/665/GCA_000505665.1_ASM50566v1,./genbank/bacteria/GCA_000505665.1/GCA_000505665.1_ASM50566v1_genomic.fna.gz,./genbank/bacteria/GCA_000505665.1/GCA_000505665.1_ASM50566v1_genomic.fna.gz,GCA_000505665.1_ASM50566v1
GCA_000485815.1,PRJDB1488,SAMD00036772,BAUB00000000.1,,na,,1407650,1407650,Synechococcus sp. NKBG15041c,strain=NKBG15041c,,latest,Contig,Major,Full,2013/10/22,ASM48581v1,Tokyo university of agriculture and technology,GCF_000485815.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/485/815/GCA_000485815.1_ASM48581v1,./genbank/bacteria/GCA_000485815.1/GCA_000485815.1_ASM48581v1_genomic.fna.gz,./genbank/bacteria/GCA_000485815.1/GCA_000485815.1_ASM48581v1_genomic.fna.gz,GCA_000485815.1_ASM48581v1
GCA_000775285.1,PRJNA244289,SAMN02725026,JJML00000000.1,,representative genome,assembly from type material,1497020,1501145,Neosynechococcus sphagnicola sy1,strain=CAUP A 1101,,latest,Contig,Major,Full,2014/09/29,ASM77528v1,Palacky University Olomouc,GCF_000775285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/775/285/GCA_000775285.1_ASM77528v1,./genbank/bacteria/GCA_000775285.1/GCA_000775285.1_ASM77528v1_genomic.fna.gz,./genbank/bacteria/GCA_000775285.1/GCA_000775285.1_ASM77528v1_genomic.fna.gz,GCA_000775285.1_ASM77528v1
GCA_001039265.1,PRJNA286005,SAMN03736791,LFEK00000000.1,,na,,1662190,1662190,Synechococcus sp. GFB01,strain=GFB01,,latest,Contig,Major,Full,2015/06/24,ASM103926v1,Federal University of Para,GCF_001039265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/265/GCA_001039265.1_ASM103926v1,./genbank/bacteria/GCA_001039265.1/GCA_001039265.1_ASM103926v1_genomic.fna.gz,./genbank/bacteria/GCA_001039265.1/GCA_001039265.1_ASM103926v1_genomic.fna.gz,GCA_001039265.1_ASM103926v1
GCA_001632105.1,PRJNA311927,SAMN04490774,LVHT00000000.1,,na,,1801628,1801628,Synechococcus sp. MIT S9504,strain=MIT S9504,,latest,Scaffold,Major,Full,2016/04/25,ASM163210v1,MIT,GCF_001632105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/105/GCA_001632105.1_ASM163210v1,./genbank/bacteria/GCA_001632105.1/GCA_001632105.1_ASM163210v1_genomic.fna.gz,./genbank/bacteria/GCA_001632105.1/GCA_001632105.1_ASM163210v1_genomic.fna.gz,GCA_001632105.1_ASM163210v1
GCA_001632165.1,PRJNA311928,SAMN04490775,LVHU00000000.1,,na,,1801629,1801629,Synechococcus sp. MIT S9508,strain=MIT S9508,,latest,Scaffold,Major,Full,2016/04/25,ASM163216v1,MIT,GCF_001632165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/165/GCA_001632165.1_ASM163216v1,./genbank/bacteria/GCA_001632165.1/GCA_001632165.1_ASM163216v1_genomic.fna.gz,./genbank/bacteria/GCA_001632165.1/GCA_001632165.1_ASM163216v1_genomic.fna.gz,GCA_001632165.1_ASM163216v1
GCA_001631935.1,PRJNA311929,SAMN04490776,LVHV00000000.1,,na,,1801630,1801630,Synechococcus sp. MIT S9509,strain=MIT S9509,,latest,Scaffold,Major,Full,2016/04/25,ASM163193v1,MIT,GCF_001631935.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/631/935/GCA_001631935.1_ASM163193v1,./genbank/bacteria/GCA_001631935.1/GCA_001631935.1_ASM163193v1_genomic.fna.gz,./genbank/bacteria/GCA_001631935.1/GCA_001631935.1_ASM163193v1_genomic.fna.gz,GCA_001631935.1_ASM163193v1
GCA_001628295.1,PRJNA289734,SAMN04534664,LURJ00000000.1,derived from metagenome,na,,1811575,1811575,Synechococcus sp. REDSEA-S01_B1,,REDSEA-S01_B1,latest,Scaffold,Major,Full,2016/04/22,ASM162829v1,King Abdullah University of Science and Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/295/GCA_001628295.1_ASM162829v1,./genbank/bacteria/GCA_001628295.1/GCA_001628295.1_ASM162829v1_genomic.fna.gz,./genbank/bacteria/GCA_001628295.1/GCA_001628295.1_ASM162829v1_genomic.fna.gz,GCA_001628295.1_ASM162829v1
GCA_001628325.1,PRJNA289734,SAMN04534665,LURK00000000.1,derived from metagenome,na,,1811576,1811576,Synechococcus sp. REDSEA-S02_B4,,REDSEA-S02_B4,latest,Scaffold,Major,Full,2016/04/22,ASM162832v1,King Abdullah University of Science and Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/325/GCA_001628325.1_ASM162832v1,./genbank/bacteria/GCA_001628325.1/GCA_001628325.1_ASM162832v1_genomic.fna.gz,./genbank/bacteria/GCA_001628325.1/GCA_001628325.1_ASM162832v1_genomic.fna.gz,GCA_001628325.1_ASM162832v1
GCA_002356215.1,PRJDB4740,SAMD00051107,,,na,,1827144,1827144,Synechococcus sp. NIES-970,strain=NIES-970,,latest,Complete Genome,Major,Full,2017/02/08,ASM235621v1,National Institute for Environmental Studies,GCF_002356215.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/215/GCA_002356215.1_ASM235621v1,./genbank/bacteria/GCA_002356215.1/GCA_002356215.1_ASM235621v1_genomic.fna.gz,./genbank/bacteria/GCA_002356215.1/GCA_002356215.1_ASM235621v1_genomic.fna.gz,GCA_002356215.1_ASM235621v1
GCA_003228185.1,PRJNA321959,SAMN05013912,LYXM00000000.1,derived from environmental source,na,,1856682,1856682,Synechococcus sp. PCC 7002 x Microcystis aeruginosa TAIHU98 coculture,,,latest,Contig,Major,Full,2018/06/15,ASM322818v1,"Institute of Hydrobiology, Chinese Academy of Sciences",na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/228/185/GCA_003228185.1_ASM322818v1,./genbank/bacteria/GCA_003228185.1/GCA_003228185.1_ASM322818v1_genomic.fna.gz,./genbank/bacteria/GCA_003228185.1/GCA_003228185.1_ASM322818v1_genomic.fna.gz,GCA_003228185.1_ASM322818v1
GCA_002151525.1,PRJNA342151,SAMN05915837,MWMJ00000000.1,derived from metagenome,na,,1910957,1910957,Synechococcus sp. Lanier,,Lanier,latest,Contig,Major,Full,2017/05/19,ASM215152v1,Universidad Miguel Hernandez,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/151/525/GCA_002151525.1_ASM215152v1,./genbank/bacteria/GCA_002151525.1/GCA_002151525.1_ASM215152v1_genomic.fna.gz,./genbank/bacteria/GCA_002151525.1/GCA_002151525.1_ASM215152v1_genomic.fna.gz,GCA_002151525.1_ASM215152v1
GCA_001885215.1,PRJNA352894,SAMN06006676,,,na,,1916956,1916956,Synechococcus sp. SynAce01,strain=SynAce01,,latest,Complete Genome,Major,Full,2016/11/22,ASM188521v1,Peking University Shenzhen Graduate School,GCF_001885215.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/885/215/GCA_001885215.1_ASM188521v1,./genbank/bacteria/GCA_001885215.1/GCA_001885215.1_ASM188521v1_genomic.fna.gz,./genbank/bacteria/GCA_001885215.1/GCA_001885215.1_ASM188521v1_genomic.fna.gz,GCA_001885215.1_ASM188521v1
GCA_900177825.1,PRJEB20275,SAMN06272774,FXWN00000000.1,,na,,1938862,1938862,Synechococcus sp. 7002,strain=7002,,latest,Contig,Major,Full,2017/05/13,IMG-taxon 2708742468 annotated assembly,DOE - JOINT GENOME INSTITUTE,GCF_900177825.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/177/825/GCA_900177825.1_IMG-taxon_2708742468_annotated_assembly,./genbank/bacteria/GCA_900177825.1/GCA_900177825.1_IMG-taxon_2708742468_annotated_assembly_genomic.fna.gz,./genbank/bacteria/GCA_900177825.1/GCA_900177825.1_IMG-taxon_2708742468_annotated_assembly_genomic.fna.gz,GCA_900177825.1_IMG-taxon_2708742468_annotated_assembly
GCA_900177365.1,PRJEB20449,SAMN06272755,FXBO00000000.1,,na,,1938863,1938863,Synechococcus sp. OG1,strain=OG1,,latest,Contig,Major,Full,2017/04/21,IMG-taxon 2708742537 annotated assembly,DOE - JOINT GENOME INSTITUTE,GCF_900177365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/177/365/GCA_900177365.1_IMG-taxon_2708742537_annotated_assembly,./genbank/bacteria/GCA_900177365.1/GCA_900177365.1_IMG-taxon_2708742537_annotated_assembly_genomic.fna.gz,./genbank/bacteria/GCA_900177365.1/GCA_900177365.1_IMG-taxon_2708742537_annotated_assembly_genomic.fna.gz,GCA_900177365.1_IMG-taxon_2708742537_annotated_assembly
GCA_003712085.1,PRJNA497203,SAMN10255226,RHLE00000000.1,derived from metagenome,na,,1979153,1979153,Synechococcus sp. YX04-3,,YX04-3,latest,Contig,Major,Full,2018/11/05,ASM371208v1,Synechococcus sp. YX04-3,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/712/085/GCA_003712085.1_ASM371208v1,./genbank/bacteria/GCA_003712085.1/GCA_003712085.1_ASM371208v1_genomic.fna.gz,./genbank/bacteria/GCA_003712085.1/GCA_003712085.1_ASM371208v1_genomic.fna.gz,GCA_003712085.1_ASM371208v1
GCA_003149585.1,PRJNA445564,SAMN08724830,QCWF00000000.1,derived from metagenome,na,,1979185,1979185,Synechococcus sp. XM-24,,XM-24,latest,Contig,Major,Full,2018/05/23,ASM314958v1,Xiamen University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/149/585/GCA_003149585.1_ASM314958v1,./genbank/bacteria/GCA_003149585.1/GCA_003149585.1_ASM314958v1_genomic.fna.gz,./genbank/bacteria/GCA_003149585.1/GCA_003149585.1_ASM314958v1_genomic.fna.gz,GCA_003149585.1_ASM314958v1
GCA_002171075.2,PRJNA385857,SAMN06972009,NHHE00000000.2,derived from metagenome,na,,1986592,1986592,Synechococcus sp. TMED155,,TMED155,latest,Contig,Major,Full,2018/11/25,ASM217107v2,University of Southern California,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/171/075/GCA_002171075.2_ASM217107v2,./genbank/bacteria/GCA_002171075.2/GCA_002171075.2_ASM217107v2_genomic.fna.gz,./genbank/bacteria/GCA_002171075.2/GCA_002171075.2_ASM217107v2_genomic.fna.gz,GCA_002171075.2_ASM217107v2
GCA_002172175.1,PRJNA385857,SAMN06972023,NHHS00000000.1,derived from metagenome,na,,1986593,1986593,Synechococcus sp. TMED169,,TMED169,latest,Contig,Major,Full,2017/06/05,ASM217217v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/172/175/GCA_002172175.1_ASM217217v1,./genbank/bacteria/GCA_002172175.1/GCA_002172175.1_ASM217217v1_genomic.fna.gz,./genbank/bacteria/GCA_002172175.1/GCA_002172175.1_ASM217217v1_genomic.fna.gz,GCA_002172175.1_ASM217217v1
GCA_002172045.1,PRJNA385857,SAMN06972039,NHII00000000.1,derived from metagenome,na,,1986594,1986594,Synechococcus sp. TMED185,,TMED185,latest,Contig,Major,Full,2017/06/05,ASM217204v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/172/045/GCA_002172045.1_ASM217204v1,./genbank/bacteria/GCA_002172045.1/GCA_002172045.1_ASM217204v1_genomic.fna.gz,./genbank/bacteria/GCA_002172045.1/GCA_002172045.1_ASM217204v1_genomic.fna.gz,GCA_002172045.1_ASM217204v1
GCA_002171995.1,PRJNA385857,SAMN06972041,NHIK00000000.1,derived from metagenome,na,,1986595,1986595,Synechococcus sp. TMED187,,TMED187,latest,Contig,Major,Full,2017/06/05,ASM217199v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/171/995/GCA_002171995.1_ASM217199v1,./genbank/bacteria/GCA_002171995.1/GCA_002171995.1_ASM217199v1_genomic.fna.gz,./genbank/bacteria/GCA_002171995.1/GCA_002171995.1_ASM217199v1_genomic.fna.gz,GCA_002171995.1_ASM217199v1
GCA_002168155.1,PRJNA385857,SAMN06971873,NHBY00000000.1,derived from metagenome,na,,1986596,1986596,Synechococcus sp. TMED19,,TMED19,latest,Contig,Major,Full,2017/06/05,ASM216815v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/168/155/GCA_002168155.1_ASM216815v1,./genbank/bacteria/GCA_002168155.1/GCA_002168155.1_ASM216815v1_genomic.fna.gz,./genbank/bacteria/GCA_002168155.1/GCA_002168155.1_ASM216815v1_genomic.fna.gz,GCA_002168155.1_ASM216815v1
GCA_002167425.2,PRJNA385857,SAMN06971874,NHBZ00000000.2,derived from metagenome,na,,1986597,1986597,Synechococcus sp. TMED20,,TMED20,latest,Contig,Major,Full,2018/11/25,ASM216742v2,University of Southern California,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/167/425/GCA_002167425.2_ASM216742v2,./genbank/bacteria/GCA_002167425.2/GCA_002167425.2_ASM216742v2_genomic.fna.gz,./genbank/bacteria/GCA_002167425.2/GCA_002167425.2_ASM216742v2_genomic.fna.gz,GCA_002167425.2_ASM216742v2
GCA_002170705.1,PRJNA385857,SAMN06972059,NHJC00000000.1,derived from metagenome,na,,1986598,1986598,Synechococcus sp. TMED205,,TMED205,latest,Contig,Major,Full,2017/06/05,ASM217070v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/170/705/GCA_002170705.1_ASM217070v1,./genbank/bacteria/GCA_002170705.1/GCA_002170705.1_ASM217070v1_genomic.fna.gz,./genbank/bacteria/GCA_002170705.1/GCA_002170705.1_ASM217070v1_genomic.fna.gz,GCA_002170705.1_ASM217070v1
GCA_002171685.2,PRJNA385857,SAMN06971920,NHDT00000000.2,derived from metagenome,na,,1986599,1986599,Synechococcus sp. TMED66,,TMED66,latest,Contig,Major,Full,2018/11/25,ASM217168v2,University of Southern California,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/171/685/GCA_002171685.2_ASM217168v2,./genbank/bacteria/GCA_002171685.2/GCA_002171685.2_ASM217168v2_genomic.fna.gz,./genbank/bacteria/GCA_002171685.2/GCA_002171685.2_ASM217168v2_genomic.fna.gz,GCA_002171685.2_ASM217168v2
GCA_002172935.1,PRJNA385857,SAMN06971944,NHER00000000.1,derived from metagenome,na,,1986600,1986600,Synechococcus sp. TMED90,,TMED90,latest,Contig,Major,Full,2017/06/05,ASM217293v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/172/935/GCA_002172935.1_ASM217293v1,./genbank/bacteria/GCA_002172935.1/GCA_002172935.1_ASM217293v1_genomic.fna.gz,./genbank/bacteria/GCA_002172935.1/GCA_002172935.1_ASM217293v1_genomic.fna.gz,GCA_002172935.1_ASM217293v1
GCA_002690325.1,PRJNA391943,SAMN07620135,NZED00000000.1,derived from metagenome,na,,2024878,2024878,Synechococcus sp. ARS1019,,ARS1019,latest,Contig,Major,Full,2017/10/24,ASM269032v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/690/325/GCA_002690325.1_ASM269032v1,./genbank/bacteria/GCA_002690325.1/GCA_002690325.1_ASM269032v1_genomic.fna.gz,./genbank/bacteria/GCA_002690325.1/GCA_002690325.1_ASM269032v1_genomic.fna.gz,GCA_002690325.1_ASM269032v1
GCA_002685515.1,PRJNA391943,SAMN07620136,NYXI00000000.1,derived from metagenome,na,,2024879,2024879,Synechococcus sp. CPC100,,CPC100,latest,Contig,Major,Full,2017/10/24,ASM268551v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/685/515/GCA_002685515.1_ASM268551v1,./genbank/bacteria/GCA_002685515.1/GCA_002685515.1_ASM268551v1_genomic.fna.gz,./genbank/bacteria/GCA_002685515.1/GCA_002685515.1_ASM268551v1_genomic.fna.gz,GCA_002685515.1_ASM268551v1
GCA_002684175.1,PRJNA391943,SAMN07620137,NYUU00000000.1,derived from metagenome,na,,2024880,2024880,Synechococcus sp. CPC35,,CPC35,latest,Contig,Major,Full,2017/10/24,ASM268417v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/684/175/GCA_002684175.1_ASM268417v1,./genbank/bacteria/GCA_002684175.1/GCA_002684175.1_ASM268417v1_genomic.fna.gz,./genbank/bacteria/GCA_002684175.1/GCA_002684175.1_ASM268417v1_genomic.fna.gz,GCA_002684175.1_ASM268417v1
GCA_002693285.1,PRJNA391943,SAMN07620138,NZPI00000000.1,derived from metagenome,na,,2024881,2024881,Synechococcus sp. EAC657,,EAC657,latest,Contig,Major,Full,2017/10/24,ASM269328v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/693/285/GCA_002693285.1_ASM269328v1,./genbank/bacteria/GCA_002693285.1/GCA_002693285.1_ASM269328v1_genomic.fna.gz,./genbank/bacteria/GCA_002693285.1/GCA_002693285.1_ASM269328v1_genomic.fna.gz,GCA_002693285.1_ASM269328v1
GCA_002691345.1,PRJNA391943,SAMN07620139,NZHI00000000.1,derived from metagenome,na,,2024882,2024882,Synechococcus sp. MED650,,MED650,latest,Contig,Major,Full,2017/10/24,ASM269134v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/691/345/GCA_002691345.1_ASM269134v1,./genbank/bacteria/GCA_002691345.1/GCA_002691345.1_ASM269134v1_genomic.fna.gz,./genbank/bacteria/GCA_002691345.1/GCA_002691345.1_ASM269134v1_genomic.fna.gz,GCA_002691345.1_ASM269134v1
GCA_002700765.1,PRJNA391943,SAMN07620140,PAEP00000000.1,derived from metagenome,na,,2024883,2024883,Synechococcus sp. MED850,,MED850,latest,Contig,Major,Full,2017/10/24,ASM270076v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/700/765/GCA_002700765.1_ASM270076v1,./genbank/bacteria/GCA_002700765.1/GCA_002700765.1_ASM270076v1_genomic.fna.gz,./genbank/bacteria/GCA_002700765.1/GCA_002700765.1_ASM270076v1_genomic.fna.gz,GCA_002700765.1_ASM270076v1
GCA_002698505.1,PRJNA391943,SAMN07620141,NZXF00000000.1,derived from metagenome,na,,2024884,2024884,Synechococcus sp. NAT40,,NAT40,latest,Contig,Major,Full,2017/10/24,ASM269850v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/698/505/GCA_002698505.1_ASM269850v1,./genbank/bacteria/GCA_002698505.1/GCA_002698505.1_ASM269850v1_genomic.fna.gz,./genbank/bacteria/GCA_002698505.1/GCA_002698505.1_ASM269850v1_genomic.fna.gz,GCA_002698505.1_ASM269850v1
GCA_002729835.1,PRJNA391943,SAMN07620142,PBYZ00000000.1,derived from metagenome,na,,2024885,2024885,Synechococcus sp. NP17,,NP17,latest,Contig,Major,Full,2017/10/26,ASM272983v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/729/835/GCA_002729835.1_ASM272983v1,./genbank/bacteria/GCA_002729835.1/GCA_002729835.1_ASM272983v1_genomic.fna.gz,./genbank/bacteria/GCA_002729835.1/GCA_002729835.1_ASM272983v1_genomic.fna.gz,GCA_002729835.1_ASM272983v1
GCA_002724845.1,PRJNA391943,SAMN07620143,PBPY00000000.1,derived from metagenome,na,,2024886,2024886,Synechococcus sp. RS344,,RS344,latest,Contig,Major,Full,2017/10/26,ASM272484v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/724/845/GCA_002724845.1_ASM272484v1,./genbank/bacteria/GCA_002724845.1/GCA_002724845.1_ASM272484v1_genomic.fna.gz,./genbank/bacteria/GCA_002724845.1/GCA_002724845.1_ASM272484v1_genomic.fna.gz,GCA_002724845.1_ASM272484v1
GCA_002706715.1,PRJNA391943,SAMN07620144,PAJY00000000.1,derived from metagenome,na,,2024887,2024887,Synechococcus sp. SAT82,,SAT82,latest,Contig,Major,Full,2017/10/25,ASM270671v1,Tara Oceans Consortium,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/706/715/GCA_002706715.1_ASM270671v1,./genbank/bacteria/GCA_002706715.1/GCA_002706715.1_ASM270671v1_genomic.fna.gz,./genbank/bacteria/GCA_002706715.1/GCA_002706715.1_ASM270671v1_genomic.fna.gz,GCA_002706715.1_ASM270671v1
GCA_002252625.1,PRJNA396543,SAMN07427896,NQKW00000000.1,,na,,2025605,2025605,Synechococcus sp. 1G10,strain=1G10,,latest,Contig,Major,Full,2017/08/15,ASM225262v1,University of Bristol,GCF_002252625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/625/GCA_002252625.1_ASM225262v1,./genbank/bacteria/GCA_002252625.1/GCA_002252625.1_ASM225262v1_genomic.fna.gz,./genbank/bacteria/GCA_002252625.1/GCA_002252625.1_ASM225262v1_genomic.fna.gz,GCA_002252625.1_ASM225262v1
GCA_002252665.1,PRJNA396543,SAMN07427898,NQKZ00000000.1,,na,,2025606,2025606,Synechococcus sp. 8F6,strain=8F6,,latest,Scaffold,Major,Full,2017/08/15,ASM225266v1,University of Bristol,GCF_002252665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/665/GCA_002252665.1_ASM225266v1,./genbank/bacteria/GCA_002252665.1/GCA_002252665.1_ASM225266v1_genomic.fna.gz,./genbank/bacteria/GCA_002252665.1/GCA_002252665.1_ASM225266v1_genomic.fna.gz,GCA_002252665.1_ASM225266v1
GCA_002737305.1,PRJNA396997,SAMN07460796,NSII00000000.1,derived from metagenome,na,,2026890,2026890,Synechococcus sp. Baikal-G1,,Baikal-G1,latest,Contig,Major,Full,2017/10/30,ASM273730v1,Evolutionary Genomics Group,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/737/305/GCA_002737305.1_ASM273730v1,./genbank/bacteria/GCA_002737305.1/GCA_002737305.1_ASM273730v1_genomic.fna.gz,./genbank/bacteria/GCA_002737305.1/GCA_002737305.1_ASM273730v1_genomic.fna.gz,GCA_002737305.1_ASM273730v1
GCA_002721235.1,PRJNA412967,SAMN07733358,PCGE00000000.1,,na,,2042059,2042059,Synechococcus sp. BDU 130192,strain=BDU 130192,,latest,Scaffold,Major,Full,2017/10/25,ASM272123v1,"International Centre for Genetic Engineering and Biotechnology, New Delhi, India",GCF_002721235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/721/235/GCA_002721235.1_ASM272123v1,./genbank/bacteria/GCA_002721235.1/GCA_002721235.1_ASM272123v1_genomic.fna.gz,./genbank/bacteria/GCA_002721235.1/GCA_002721235.1_ASM272123v1_genomic.fna.gz,GCA_002721235.1_ASM272123v1
GCA_003523965.1,PRJNA417962,SAMN08019075,DOFR00000000.1,derived from metagenome,na,,2055762,2055762,Synechococcus sp. UBA8638,,UBA8638,latest,Scaffold,Major,Full,2018/09/07,ASM352396v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/523/965/GCA_003523965.1_ASM352396v1,./genbank/bacteria/GCA_003523965.1/GCA_003523965.1_ASM352396v1_genomic.fna.gz,./genbank/bacteria/GCA_003523965.1/GCA_003523965.1_ASM352396v1_genomic.fna.gz,GCA_003523965.1_ASM352396v1
GCA_003539795.1,PRJNA417962,SAMN08019974,DPOG00000000.1,derived from metagenome,na,,2055763,2055763,Synechococcus sp. UBA9887,,UBA9887,latest,Scaffold,Major,Full,2018/09/10,ASM353979v1,University of Queensland,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/539/795/GCA_003539795.1_ASM353979v1,./genbank/bacteria/GCA_003539795.1/GCA_003539795.1_ASM353979v1_genomic.fna.gz,./genbank/bacteria/GCA_003539795.1/GCA_003539795.1_ASM353979v1_genomic.fna.gz,GCA_003539795.1_ASM353979v1
