,assembly_accession,bioproject,biosample,wgs_master,excluded_from_refseq,refseq_category,relation_to_type_material,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,local_filename,local_fna,filename,is_synecho
504,GCA_001747005.1,PRJNA318169,SAMN04633587,LWHC00000000.1,,na,,1562720,1562720,Cyanobacterium sp. IPPAS B-1200,strain=IPPAS B-1200,,latest,Contig,Major,Full,2016/09/27,ASM174700v1,"Institute of Plant Physiology, Russian Academy of Sciences",GCF_001747005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/747/005/GCA_001747005.1_ASM174700v1,./genbank/bacteria/GCA_001747005.1/GCA_001747005.1_ASM174700v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001747005.1_ASM174700v1_genomic.fna,GCA_001747005.1_ASM174700v1,False
505,GCA_001548095.1,PRJDB3512,SAMD00025579,,,na,,1615909,1615909,Geminocystis sp. NIES-3708,strain=NIES-3708,,latest,Complete Genome,Major,Full,2015/03/18,Gm3709_assembly_1.0,Toyohashi University of Technology,GCF_001548095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/095/GCA_001548095.1_Gm3709_assembly_1.0,./genbank/bacteria/GCA_001548095.1/GCA_001548095.1_Gm3709_assembly_1.0_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001548095.1_Gm3709_assembly_1.0_genomic.fna,GCA_001548095.1_Gm3709_assembly_1.0,False
506,GCA_001904635.1,PRJNA347433,SAMN05890686,MRCB00000000.1,,representative genome,,1921803,1616834,Hydrococcus rivularis NIES-593,strain=NIES-593,,latest,Scaffold,Major,Full,2016/12/14,ASM190463v1,Xuefeng LU,GCF_001904635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/904/635/GCA_001904635.1_ASM190463v1,./genbank/bacteria/GCA_001904635.1/GCA_001904635.1_ASM190463v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001904635.1_ASM190463v1_genomic.fna,GCA_001904635.1_ASM190463v1,False
507,GCA_001548115.1,PRJDB3579,SAMD00027151,,,na,,1617448,1617448,Geminocystis sp. NIES-3709,strain=NIES-3709,,latest,Complete Genome,Major,Full,2015/03/18,Gm3709_assembly_1.0,Toyohashi University of Technology,GCF_001548115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/115/GCA_001548115.1_Gm3709_assembly_1.0,./genbank/bacteria/GCA_001548115.1/GCA_001548115.1_Gm3709_assembly_1.0_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001548115.1_Gm3709_assembly_1.0_genomic.fna,GCA_001548115.1_Gm3709_assembly_1.0,False
508,GCA_002949795.1,PRJNA275880,SAMN03354403,,,na,,1618022,1618022,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',strain=5183,,latest,Complete Genome,Major,Full,2018/02/26,ASM294979v1,University of Iceland,GCF_002949795.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/949/795/GCA_002949795.1_ASM294979v1,./genbank/bacteria/GCA_002949795.1/GCA_002949795.1_ASM294979v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_002949795.1_ASM294979v1_genomic.fna,GCA_002949795.1_ASM294979v1,False
509,GCA_000980375.1,PRJNA277012,SAMN03449997,LARD00000000.1,derived from metagenome,na,,1637501,1637501,Clostridium sp. K4410.MGS-306,,K4410.MGS-306,latest,Contig,Major,Full,2015/04/24,ASM98037v1,The Mayo Clinic,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/980/375/GCA_000980375.1_ASM98037v1,./genbank/bacteria/GCA_000980375.1/GCA_000980375.1_ASM98037v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000980375.1_ASM98037v1_genomic.fna,GCA_000980375.1_ASM98037v1,False
510,GCA_000980455.1,PRJNA277012,SAMN03450003,LARK00000000.1,derived from metagenome,na,,1637507,1637507,Heliobacterium sp. N15.MGS-306,,N15.MGS-306,latest,Contig,Major,Full,2015/04/24,ASM98045v1,The Mayo Clinic,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/980/455/GCA_000980455.1_ASM98045v1,./genbank/bacteria/GCA_000980455.1/GCA_000980455.1_ASM98045v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000980455.1_ASM98045v1_genomic.fna,GCA_000980455.1_ASM98045v1,False
511,GCA_000974245.1,PRJNA280496,SAMN03463612,LAYT00000000.1,unverified source organism,na,,1640536,1640536,Arthrospira sp. TJSD091,strain=TJSD091,,latest,Contig,Major,Full,2015/04/20,ASM97424v1,Tianjin University of Commerce,GCF_000974245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/245/GCA_000974245.1_ASM97424v1,./genbank/bacteria/GCA_000974245.1/GCA_000974245.1_ASM97424v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000974245.1_ASM97424v1_genomic.fna,GCA_000974245.1_ASM97424v1,False
512,GCA_001277295.1,PRJNA282166,SAMN03568000,,,na,,1647413,1647413,Anabaena sp. WA102,strain=WA102,,latest,Complete Genome,Major,Full,2015/09/01,ASM127729v1,Oregon State University,GCF_001277295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/277/295/GCA_001277295.1_ASM127729v1,./genbank/bacteria/GCA_001277295.1/GCA_001277295.1_ASM127729v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001277295.1_ASM127729v1_genomic.fna,GCA_001277295.1_ASM127729v1,False
514,GCA_001314905.1,PRJNA283228,SAMN03785507,LJZT00000000.1,derived from metagenome,na,,1666905,1666905,Phormidium sp. OSCR,,OSCR,latest,Scaffold,Major,Full,2015/10/14,ASM131490v1,Pacific Northwest National Laboratroy,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/314/905/GCA_001314905.1_ASM131490v1,./genbank/bacteria/GCA_001314905.1/GCA_001314905.1_ASM131490v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001314905.1_ASM131490v1_genomic.fna,GCA_001314905.1_ASM131490v1,False
515,GCA_001672085.1,PRJNA294801,SAMN04028823,LJOU00000000.1,derived from metagenome,na,,1678133,1678133,Anabaena sp. AL93,,WA93,latest,Contig,Major,Full,2016/06/20,ASM167208v1,Oregon State University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/085/GCA_001672085.1_ASM167208v1,./genbank/bacteria/GCA_001672085.1/GCA_001672085.1_ASM167208v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001672085.1_ASM167208v1_genomic.fna,GCA_001672085.1_ASM167208v1,False
516,GCA_900009145.1,PRJEB10993,SAMEA3590990,CZDF00000000.1,,representative genome,,671072,1678309,Planktothrix tepida PCC 9214,,BBR_PRJEB10993,latest,Scaffold,Major,Full,2016/12/02,BBR_PRJEB10993,Genoscope CEA,GCF_900009145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/009/145/GCA_900009145.1_BBR_PRJEB10993,./genbank/bacteria/GCA_900009145.1/GCA_900009145.1_BBR_PRJEB10993_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_900009145.1_BBR_PRJEB10993_genomic.fna,GCA_900009145.1_BBR_PRJEB10993,False
517,GCA_001402795.1,PRJNA289505,SAMN03854406,LIRE00000000.1,,na,,1681830,1681830,Pseudanabaena sp. 'Roaring Creek',strain=Roaring Creek,,latest,Contig,Major,Full,2015/10/22,ASM140279v1,Bucknell University,GCF_001402795.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/402/795/GCA_001402795.1_ASM140279v1,./genbank/bacteria/GCA_001402795.1/GCA_001402795.1_ASM140279v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001402795.1_ASM140279v1_genomic.fna,GCA_001402795.1_ASM140279v1,False
518,GCA_001275395.1,PRJNA293405,SAMN04002543,LIRN00000000.1,,na,,1704290,1704290,Hapalosiphon sp. MRB220,strain=MRB220,,latest,Scaffold,Major,Full,2015/08/27,ASM127539v1,Singapore-MIT Alliance for Research and Technology,GCF_001275395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/275/395/GCA_001275395.1_ASM127539v1,./genbank/bacteria/GCA_001275395.1/GCA_001275395.1_ASM127539v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001275395.1_ASM127539v1_genomic.fna,GCA_001275395.1_ASM127539v1,False
519,GCA_002742025.1,PRJNA293407,SAMN04002600,LIRO00000000.1,,na,,1704291,1704291,Limnothrix sp. PR1529,strain=PR1529,,latest,Scaffold,Major,Full,2017/11/02,ASM274202v1,Singapore-MIT Alliance for Research and Technology,GCF_002742025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/742/025/GCA_002742025.1_ASM274202v1,./genbank/bacteria/GCA_002742025.1/GCA_002742025.1_ASM274202v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_002742025.1_ASM274202v1_genomic.fna,GCA_002742025.1_ASM274202v1,False
520,GCA_001276715.1,PRJNA293643,SAMN04009103,LIUQ00000000.1,,na,,1705388,1705388,Planktothricoides sp. SR001,strain=SR001,,latest,Scaffold,Major,Full,2015/08/31,ASM127671v1,Singapore-MIT Alliance for Research and Technology,GCF_001276715.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/276/715/GCA_001276715.1_ASM127671v1,./genbank/bacteria/GCA_001276715.1/GCA_001276715.1_ASM127671v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001276715.1_ASM127671v1_genomic.fna,GCA_001276715.1_ASM127671v1,False
521,GCA_001672155.1,PRJNA294801,SAMN04028825,LJOS00000000.1,derived from metagenome,na,,1710889,1710889,Anabaena sp. WA113,,WA113,latest,Contig,Major,Full,2016/06/20,ASM167215v1,Oregon State University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/155/GCA_001672155.1_ASM167215v1,./genbank/bacteria/GCA_001672155.1/GCA_001672155.1_ASM167215v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001672155.1_ASM167215v1_genomic.fna,GCA_001672155.1_ASM167215v1,False
522,GCA_001672255.1,PRJNA294801,SAMN04028827,LJOQ00000000.1,derived from metagenome,na,,1710891,1710891,Anabaena sp. AL09,,39864,latest,Scaffold,Major,Full,2016/06/20,ASM167225v1,Oregon State University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/255/GCA_001672255.1_ASM167225v1,./genbank/bacteria/GCA_001672255.1/GCA_001672255.1_ASM167225v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001672255.1_ASM167225v1_genomic.fna,GCA_001672255.1_ASM167225v1,False
523,GCA_001672225.1,PRJNA294801,SAMN04028828,LJOP00000000.1,derived from metagenome,na,,1710892,1710892,Anabaena sp. LE011-02,,39865,latest,Scaffold,Major,Full,2016/06/20,ASM167222v1,Oregon State University,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/672/225/GCA_001672225.1_ASM167222v1,./genbank/bacteria/GCA_001672225.1/GCA_001672225.1_ASM167222v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001672225.1_ASM167222v1_genomic.fna,GCA_001672225.1_ASM167222v1,False
524,GCA_001631965.1,PRJNA296588,SAMN04100954,LVHK00000000.1,,na,,1723647,1723647,Prochlorococcus sp. MIT 1303,strain=MIT 1303,,latest,Contig,Major,Full,2016/04/25,ASM163196v1,MIT,GCF_001631965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/631/965/GCA_001631965.1_ASM163196v1,./genbank/bacteria/GCA_001631965.1/GCA_001631965.1_ASM163196v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001631965.1_ASM163196v1_genomic.fna,GCA_001631965.1_ASM163196v1,False
525,GCA_001432185.1,PRJNA300393,SAMN04221094,LMVE00000000.1,,na,,1747196,1747196,Cylindrospermopsis sp. CR12,strain=CR12,,latest,Scaffold,Major,Full,2015/11/05,ASM143218v1,Singapore-MIT Alliance for Research and Technology,GCF_001432185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/432/185/GCA_001432185.1_ASM143218v1,./genbank/bacteria/GCA_001432185.1/GCA_001432185.1_ASM143218v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001432185.1_ASM143218v1_genomic.fna,GCA_001432185.1_ASM143218v1,False
526,GCA_001548375.1,PRJDB4341,SAMD00042755,,,na,,1751286,1751286,Nostoc sp. NIES-3756,strain=NIES-3756,,latest,Complete Genome,Major,Full,2015/11/18,ASM154837v1,Toyohashi University of Technology,GCF_001548375.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/375/GCA_001548375.1_ASM154837v1,./genbank/bacteria/GCA_001548375.1/GCA_001548375.1_ASM154837v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001548375.1_ASM154837v1_genomic.fna,GCA_001548375.1_ASM154837v1,False
527,GCA_001548455.1,PRJDB4348,SAMD00042785,,,na,,1752063,1752063,Fischerella sp. NIES-3754,strain=NIES-3754,,latest,Complete Genome,Major,Full,2015/12/17,ASM154845v1,Toyohashi University of Technology,GCF_001548455.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/455/GCA_001548455.1_ASM154845v1,./genbank/bacteria/GCA_001548455.1/GCA_001548455.1_ASM154845v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001548455.1_ASM154845v1_genomic.fna,GCA_001548455.1_ASM154845v1,False
528,GCA_001548435.1,PRJDB4349,SAMD00042786,,,na,,1752064,1752064,Leptolyngbya sp. NIES-3755,strain=NIES-3755,,latest,Complete Genome,Major,Full,2015/12/17,ASM154843v1,Toyohashi University of Technology,GCF_001548435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/435/GCA_001548435.1_ASM154843v1,./genbank/bacteria/GCA_001548435.1/GCA_001548435.1_ASM154843v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001548435.1_ASM154843v1_genomic.fna,GCA_001548435.1_ASM154843v1,False
529,GCA_001464165.1,PRJNA301005,SAMN04254517,LNEX00000000.1,derived from metagenome,na,,1752193,1752193,bacterium Ga0077546,,Ga0077546,latest,Contig,Major,Full,2015/12/09,bacterium Ga0077546,University of Glasgow,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/464/165/GCA_001464165.1_bacterium_Ga0077546,./genbank/bacteria/GCA_001464165.1/GCA_001464165.1_bacterium_Ga0077546_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001464165.1_bacterium_Ga0077546_genomic.fna,GCA_001464165.1_bacterium_Ga0077546,False
530,GCA_003231495.1,PRJNA430151,SAMN08384890,PQWO00000000.1,,na,,1764569,1764569,Acaryochloris sp. RCC1774,strain=RCC1774,,latest,Scaffold,Major,Full,2018/06/15,AcaThom1.0,"Station Biologique de Roscoff, CNRS and Sorbonne Universite",GCF_003231495.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/231/495/GCA_003231495.1_AcaThom1.0,./genbank/bacteria/GCA_003231495.1/GCA_003231495.1_AcaThom1.0_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_003231495.1_AcaThom1.0_genomic.fna,GCA_003231495.1_AcaThom1.0,False
531,GCA_001746915.1,PRJNA343432,SAMN05788062,MJGC00000000.1,,na,,1781255,1781255,Desertifilum sp. IPPAS B-1220,strain=IPPAS B-1220,,latest,Contig,Major,Full,2016/09/26,ASM174691v1,"Institute of Plant Physiology, Russian Academy of Sciences",GCF_001746915.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/915/GCA_001746915.1_ASM174691v1,./genbank/bacteria/GCA_001746915.1/GCA_001746915.1_ASM174691v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001746915.1_ASM174691v1_genomic.fna,GCA_001746915.1_ASM174691v1,False
532,GCA_001631985.1,PRJNA311757,SAMN04488532,LVHL00000000.1,,na,,1799667,1799667,Prochlorococcus sp. MIT 1306,strain=MIT 1306,,latest,Contig,Major,Full,2016/04/25,ASM163198v1,MIT,GCF_001631985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/631/985/GCA_001631985.1_ASM163198v1,./genbank/bacteria/GCA_001631985.1/GCA_001631985.1_ASM163198v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001631985.1_ASM163198v1_genomic.fna,GCA_001631985.1_ASM163198v1,False
533,GCA_001784535.1,PRJNA288027,SAMN04314160,MFRJ00000000.1,derived from metagenome,na,,1801604,1801604,Candidatus Melainabacteria bacterium GWA2_34_9,,,latest,Scaffold,Major,Full,2016/10/19,ASM178453v1,"Banfield Lab, University of California, Berkeley",na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/784/535/GCA_001784535.1_ASM178453v1,./genbank/bacteria/GCA_001784535.1/GCA_001784535.1_ASM178453v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001784535.1_ASM178453v1_genomic.fna,GCA_001784535.1_ASM178453v1,False
534,GCA_001784565.1,PRJNA288027,SAMN04313946,MFRL00000000.1,derived from metagenome,na,,1801606,1801606,Candidatus Melainabacteria bacterium GWF2_37_15,,,latest,Scaffold,Major,Full,2016/10/19,ASM178456v1,"Banfield Lab, University of California, Berkeley",na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/784/565/GCA_001784565.1_ASM178456v1,./genbank/bacteria/GCA_001784565.1/GCA_001784565.1_ASM178456v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001784565.1_ASM178456v1_genomic.fna,GCA_001784565.1_ASM178456v1,False
535,GCA_001784555.1,PRJNA288027,SAMN04315321,MFRM00000000.1,derived from metagenome,na,,1801607,1801607,Candidatus Melainabacteria bacterium RIFCSPHIGHO2_02_FULL_34_12,,,latest,Scaffold,Major,Full,2016/10/19,ASM178455v1,"Banfield Lab, University of California, Berkeley",na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/784/555/GCA_001784555.1_ASM178455v1,./genbank/bacteria/GCA_001784555.1/GCA_001784555.1_ASM178455v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001784555.1_ASM178455v1_genomic.fna,GCA_001784555.1_ASM178455v1,False
536,GCA_001784585.1,PRJNA288027,SAMN04316056,MFRN00000000.1,derived from metagenome,na,,1801608,1801608,Candidatus Melainabacteria bacterium RIFCSPLOWO2_02_FULL_35_15,,,latest,Scaffold,Major,Full,2016/10/19,ASM178458v1,"Banfield Lab, University of California, Berkeley",na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/784/585/GCA_001784585.1_ASM178458v1,./genbank/bacteria/GCA_001784585.1/GCA_001784585.1_ASM178458v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001784585.1_ASM178458v1_genomic.fna,GCA_001784585.1_ASM178458v1,False
537,GCA_001786505.1,PRJNA288027,SAMN04315768,MFRO00000000.1,derived from metagenome,na,,1801609,1801609,Candidatus Melainabacteria bacterium RIFCSPLOWO2_12_FULL_35_11,,,latest,Scaffold,Major,Full,2016/10/19,ASM178650v1,"Banfield Lab, University of California, Berkeley",na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/786/505/GCA_001786505.1_ASM178650v1,./genbank/bacteria/GCA_001786505.1/GCA_001786505.1_ASM178650v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001786505.1_ASM178650v1_genomic.fna,GCA_001786505.1_ASM178650v1,False
538,GCA_001786555.1,PRJNA288027,SAMN04314408,MFRP00000000.1,derived from metagenome,na,,1801610,1801610,Candidatus Melainabacteria bacterium RIFOXYA12_FULL_32_12,,,latest,Scaffold,Major,Full,2016/10/19,ASM178655v1,"Banfield Lab, University of California, Berkeley",na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/786/555/GCA_001786555.1_ASM178655v1,./genbank/bacteria/GCA_001786555.1/GCA_001786555.1_ASM178655v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001786555.1_ASM178655v1_genomic.fna,GCA_001786555.1_ASM178655v1,False
539,GCA_001784615.1,PRJNA288027,SAMN04314376,MFRQ00000000.1,derived from metagenome,na,,1801611,1801611,Candidatus Melainabacteria bacterium RIFOXYA2_FULL_32_9,,,latest,Scaffold,Major,Full,2016/10/19,ASM178461v1,"Banfield Lab, University of California, Berkeley",na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/784/615/GCA_001784615.1_ASM178461v1,./genbank/bacteria/GCA_001784615.1/GCA_001784615.1_ASM178461v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001784615.1_ASM178461v1_genomic.fna,GCA_001784615.1_ASM178461v1,False
543,GCA_001873365.1,PRJNA297582,SAMN04328299,MNYZ00000000.1,derived from metagenome,na,,1805291,1805291,Oscillatoriales cyanobacterium CG2_30_40_61,,CG2_30_40_61,latest,Scaffold,Major,Full,2016/11/09,ASM187336v1,"Banfield Lab, University of California, Berkeley",na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/873/365/GCA_001873365.1_ASM187336v1,./genbank/bacteria/GCA_001873365.1/GCA_001873365.1_ASM187336v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001873365.1_ASM187336v1_genomic.fna,GCA_001873365.1_ASM187336v1,False
544,GCA_001873375.1,PRJNA297582,SAMN04328304,MNZA00000000.1,derived from metagenome,na,,1805292,1805292,Oscillatoriales cyanobacterium CG2_30_44_21,,CG2_30_44_21,latest,Scaffold,Major,Full,2016/11/09,ASM187337v1,"Banfield Lab, University of California, Berkeley",na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/873/375/GCA_001873375.1_ASM187337v1,./genbank/bacteria/GCA_001873375.1/GCA_001873375.1_ASM187337v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001873375.1_ASM187337v1_genomic.fna,GCA_001873375.1_ASM187337v1,False
545,GCA_002355455.1,PRJDB4607,SAMD00047668,,,na,,1807358,1807358,Stanieria sp. NIES-3757,strain=NIES-3757,,latest,Complete Genome,Major,Full,2016/03/08,ASM235545v1,"Environment and Life Sciences, Toyohashi University of Technology",GCF_002355455.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/455/GCA_002355455.1_ASM235545v1,./genbank/bacteria/GCA_002355455.1/GCA_002355455.1_ASM235545v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_002355455.1_ASM235545v1_genomic.fna,GCA_002355455.1_ASM235545v1,False
548,GCA_001597745.1,PRJNA314519,SAMN04536954,LUHJ00000000.1,,na,,1811979,1811979,Anabaena sp. 4-3,strain=4-3,,latest,Scaffold,Major,Full,2016/03/25,ASM159774v1,University of Texas at Austin,GCF_001597745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/597/745/GCA_001597745.1_ASM159774v1,./genbank/bacteria/GCA_001597745.1/GCA_001597745.1_ASM159774v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001597745.1_ASM159774v1_genomic.fna,GCA_001597745.1_ASM159774v1,False
550,GCA_000952155.1,PRJNA275867,SAMN03354289,JYON00000000.1,,representative genome,assembly from type material,1618023,1827278,Aliterella atlantica CENA595,strain=CENA595,,latest,Contig,Major,Full,2015/03/13,asmbly001,UNESP-FCAV,GCF_000952155.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/952/155/GCA_000952155.1_asmbly001,./genbank/bacteria/GCA_000952155.1/GCA_000952155.1_asmbly001_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_000952155.1_asmbly001_genomic.fna,GCA_000952155.1_asmbly001,False
551,GCA_900088535.1,PRJEB14035,SAMEA4005231,,,na,,1851505,1851505,Cyanobium sp. NIES-981,strain=NIES-981,,latest,Complete Genome,Major,Full,2016/06/02,ASM90008853v1,National Institute for Environmental Studies,GCF_900088535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/088/535/GCA_900088535.1_ASM90008853v1,./genbank/bacteria/GCA_900088535.1/GCA_900088535.1_ASM90008853v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_900088535.1_ASM90008853v1_genomic.fna,GCA_900088535.1_ASM90008853v1,False
552,GCA_001858025.1,PRJNA324543,SAMN05208169,LZQD00000000.1,,na,,1853259,1853259,Trichormus sp. NMC-1,strain=NMC-1,,latest,Scaffold,Major,Full,2016/10/31,ASM185802v1,"School of Agriculture, Yunnan University",GCF_001858025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/025/GCA_001858025.1_ASM185802v1,./genbank/bacteria/GCA_001858025.1/GCA_001858025.1_ASM185802v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001858025.1_ASM185802v1_genomic.fna,GCA_001858025.1_ASM185802v1,False
553,GCA_002896875.1,PRJNA401388,SAMN07604078,,,na,,1869241,1869241,Nostoc sp. CENA543,strain=CENA543,,latest,Complete Genome,Major,Full,2018/01/24,ASM289687v1,University of Helsinki,GCF_002896875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/896/875/GCA_002896875.1_ASM289687v1,./genbank/bacteria/GCA_002896875.1/GCA_002896875.1_ASM289687v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_002896875.1_ASM289687v1_genomic.fna,GCA_002896875.1_ASM289687v1,False
554,GCA_001698445.1,PRJNA330622,SAMN05417939,MBRF00000000.1,derived from environmental source,na,,1880902,1880902,Limnothrix sp. P13C2,,P13C2,latest,Scaffold,Major,Full,2016/08/03,ASM169844v1,Singapore-MIT Alliance for Research and Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/445/GCA_001698445.1_ASM169844v1,./genbank/bacteria/GCA_001698445.1/GCA_001698445.1_ASM169844v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001698445.1_ASM169844v1_genomic.fna,GCA_001698445.1_ASM169844v1,False
555,GCA_001698425.1,PRJNA329643,SAMN05416373,MBRE00000000.1,derived from environmental source,na,,1880991,1880991,Oscillatoriales cyanobacterium USR001,,USR001,latest,Scaffold,Major,Full,2016/08/03,ASM169842v1,Singapore-MIT Alliance for Research and Technology,na,na,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/425/GCA_001698425.1_ASM169842v1,./genbank/bacteria/GCA_001698425.1/GCA_001698425.1_ASM169842v1_genomic.gbff.gz,../data/ncbi/processing/genomic_fna/GCA_001698425.1_ASM169842v1_genomic.fna,GCA_001698425.1_ASM169842v1,False
